DISTRICT,KURAKKAN Area Hec. ,KURAKKAN Prod. M.T. ,MAIZE Area Hec. ,MAIZE Prod. M.T. ,SORGHUM Area Hec. ,SORGHUM Prod. M.T. ,MENERI Area Hec. ,MENERI Prod. M.T. ,GREEN GRAM Area Hec. ,GREEN GRAM Prod. M.T. ,COWPEA Area Hec. ,COWPEA Prod. M.T. ,SOYA BEANS Area Hec. ,SOYA BEANS Prod. M.T. ,BLACK GRAM Area Hec. ,BLACK GRAM Prod. M.T. ,GINGELLY Area Hec. ,GINGELLY Prod. M.T. ,GROUND NUTS Area Hec. ,GROUND NUTS Prod. M.T. ,MANIOC Area Hec. ,MANIOC Prod. M.T. ,SWEET POTATOES Area Hec. ,SWEET POTATOES Prod. M.T. ,POTATOES Area Hec. ,POTATOES Prod. M.T. ,RED ONIONS Area Hec. ,RED ONIONS Prod. M.T. ,BIG ONIONS Area Hec. ,BIG ONIONS Prod. M.T. ,CHILLIES (GREEN) Area Hec. ,CHILLIES (GREEN) Prod. M.T. ,MUSTERD Area Hec. ,MUSTERD Prod. M.T. ,CIGAR. TOBACCO Area Hec. ,CIGAR. TOBACCO Prod. M.T. ,BEEDI/CIGAR TOBA Area Hec. ,BEEDI/CIGAR TOBA Prod. M.T. ,LUFFA Area Hec. ,LUFFA Prod. M.T.,BANDAKKA Area Hec. ,BANDAKKA Prod. M.T.,BRINJALS Area Hec. ,BRINJALS Prod. M.T.,BITTER GOURD Area Hec. ,BITTER GOURD Prod. M.T.,SNAKE GOURD Area Hec. ,SNAKE GOURD Prod. M.T. ,TOMATOES Area Hec.,TOMATOES Prod. M.T. ,CUCUMBER Area Hec.,CUCUMBER Prod. M.T.,CABBAGE Area Hec. ,CABBAGE Prod. M.T.,CARROT Area Hec. ,CARROT Prod. M.T.,KNOLKHOL Area Hec. ,KNOLKHOL Prod. M.T.,BEETROOT Area Hec. ,BEETROOT Prod. M.T.,RADDISH Area Hec. ,RADDISH Prod. M.T.,BEANS Area Hec.,BEANS Prod. M.T. ,LEEKS Area Hec. ,LEEKS Prod. M.T.,ASH PUMPKIN Area Hec. ,ASH PUMPKIN Prod. M.T.,RED PUMPKIN Area Hec. ,RED PUMPKIN Prod. M.T.,ASH PLANTAIN Area Hec. ,ASH PLANTAIN Prod. M.T.,CAPSICUM Area Hec. ,CAPSICUM Prod. M.T. ,CINNAMON Area Hec. ,CINNAMON Prod. M.T. ,COFFEE Area Hec. ,COFFEE Prod. M.T. ,COCOA Area Hec. ,COCOA Prod. M.T. ,PEPPER Area Hec. ,PEPPER Prod. M.T. ,CARDAMOMS Area Hec. ,CARDAMOMS Prod. M.T. ,CLOVES Area Hec. ,CLOVES Prod. M.T. ,ARECANUT Area Hec. ,ARECANUT Prod. M.T. ,CASHEW Area Hec. ,CASHEW Prod. M.T. ,ORANGES Area Hec. ,ORANGES Prod. '000 Nuts,LIMES Area Hec. ,LIMES Prod. '000 Nuts,MANGOES Area Hec. ,MANGOES Prod. '000 Nuts,JAK Area Hec. ,JAK Prod. '000 Nuts,BREAD FRUIT Area Hec. ,BREAD FRUIT Prod. '000 Nuts,SUGAR CANE Area Hec. ,SUGAR CANE Prod.M.T. ,PLANTAIN Area Hec. ,PLANTAIN Prod. 000 Bchs.,PAPAW Area Hec. ,PAPAW Prod. '000 Nuts,PINE APPLE Area Hec. ,PINE APPLE Prod. '000 Nuts,PASSION FRUIT Area Hec. ,PASSION FRUIT Prod. '000 Nuts,BETEL Area Hec. ,BETEL Prod. '000 Lvs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULLAITIVU ,12 ,11 ,34 ,69 ,,,,,113 ,112 ,131 ,97 ,,,5 ,5 ,23 ,14 ,700 ,"1,383 ",125 ,"1,240 ",10 ,120 ,,,420 ,"5,185 ",44 ,799 ,120 ,201 ,,,,,,,,,,,,,,,144 ,"3,580 ",55 ,"1,088 ",56 ,"1,632 ",81 ,960 ,,,35 ,890 ,30 ,432 ,,,28 ,670 ,2 ,14 ,,,,,,,58 ,"1,460 ",,,58 ,358 ,34 ,403 ,,,,,,,,,,,,,,,,,,,,,,,,,7 ,6 ,45 ,320 ,123 ,"1,205 ",81 ,145 ,,,,,60 ,25 ,13 ,47 ,2 ,2 ,2 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILINOCHCHI ,17 ,14 ,27 ,32 ,,,,,79 ,99 ,54 ,68 ,,,142 ,178 ,29 ,15 ,52 ,172 ,90 ,180 ,9 ,18 ,,,108 ,"1,620 ",,,110 ,165 ,,,,,,,,,,,,,60 ,900 ,155 ,"2,325 ",42 ,840 ,30 ,600 ,72 ,"1,440 ",8 ,120 ,7 ,26 ,2 ,6 ,,,1 ,13 ,,,9 ,18 ,,,19 ,190 ,67 ,"1,340 ",73 ,365 ,15 ,23 ,21 ,263 ,,,,,,,,,,,,,,,,,,,,,7 ,4 ,4 ,1 ,14 ,122 ,26 ,249 ,134 ,"1,496 ",131 ,438 ,2 ,5 ,,,160 ,275 ,13 ,84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTICALOA,25 ,7 ,195 ,228 ,3 ,2 ,,,11 ,6 ,3 ,2 ,1 ,1 ,7 ,4 ,6 ,2 ,62 ,58 ,236 ,"2,883 ",18 ,67 ,,,20 ,148 ,,,118 ,259 ,,,,,,,,,,,31 ,160 ,117 ,826 ,156 ,"1,466 ",35 ,179 ,33 ,178 ,26 ,137 ,16 ,63 ,,,,,,,,,,,,,,,3 ,17 ,19 ,147 ,91 ,438 ,3 ,24 ,170 ,"1,831 ",,,1 ,6 ,,,,,,,,,,,,,,,,,13 ,4 ,667 ,153 ,68 ,312 ,56 ,291 ,510 ,"5,656 ",216 ,419 ,3 ,2 ,9 ,22 ,449 ,197 ,80 ,419 ,,,,,20 ,"17,725 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPARA ,27 ,43 ,154 ,531 ,,,,,114 ,220 ,"1,114 ","1,734 ",,,2 ,3 ,3 ,2 ,37 ,86 ,272 ,"4,422 ",42 ,583 ,,,5 ,28 ,,,101 ,246 ,,,11 ,22 ,1 ,2 ,1 ,2 ,1 ,2 ,46 ,675 ,102 ,"1,918 ",119 ,"1,749 ",53 ,678 ,46 ,732 ,32 ,493 ,39 ,560 ,,,,,,,,,5 ,97 ,3 ,15 ,,,3 ,44 ,141 ,"3,572 ",100 ,"1,176 ",6 ,15 ,14 ,185 ,1 ,7 ,1 ,8 ,,,2 ,24 ,,,12 ,5 ,,,85 ,45 ,,,,,160 ,128 ,644 ,124 ,292 ,"2,816 ",945 ,"12,888 ",921 ,"8,566 ",605 ,"2,117 ",34 ,214 ,276 ,"12,564 ",919 ,429 ,176 ,974 ,53 ,293 ,,,18 ,"3,994 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRINCOMALEE,1 ,1 ,140 ,198 ,,,,,16 ,17 ,14 ,14 ,,,1 ,1 ,,,59 ,69 ,149 ,"1,643 ",18 ,175 ,,,95 ,"1,026 ",2 ,13 ,77 ,99 ,,,,,,,1 ,6 ,,,17 ,267 ,55 ,477 ,78 ,794 ,19 ,213 ,20 ,221 ,15 ,145 ,4 ,35 ,1 ,9 ,,,,,,,,,,,,,2 ,15 ,35 ,304 ,43 ,380 ,9 ,55 ,12 ,73 ,,,,,,,,,,,,,,,,,,,,,10 ,2 ,112 ,16 ,89 ,453 ,109 ,"1,171 ",357 ,"3,821 ",181 ,713 ,10 ,23 ,,,329 ,138 ,69 ,373 ,2 ,12 ,,,2 ,310 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUNEGALA ,156 ,94 ,369 ,354 ,3 ,1 ,,,604 ,254 ,461 ,323 ,14 ,25 ,81 ,38 ,335 ,87 ,613 ,"3,372 ","1,284 ","8,153 ",333 ,"1,898 ",,,65 ,206 ,137 ,821 ,487 ,779 ,,,22 ,26 ,6 ,7 ,42 ,176 ,20 ,40 ,259 ,"1,748 ",348 ,"1,636 ",342 ,"1,573 ",157 ,722 ,148 ,"1,036 ",118 ,543 ,249 ,"1,869 ",16 ,17 ,,,79 ,552 ,272 ,"1,224 ",189 ,"1,505 ",19 ,61 ,,,74 ,597 ,267 ,"2,003 ",396 ,"3,762 ",211 ,633 ,144 ,576 ,43 ,120 ,17 ,33 ,13 ,70 ,16 ,47 ,141 ,41 ,924 ,804 ,189 ,66 ,"2,672 ","1,688 ",19 ,5 ,476 ,191 ,821 ,929 ,"5,388 ","1,725 ",691 ,"3,564 ","1,290 ","20,544 ","4,514 ","68,222 ","5,148 ","19,553 ",597 ,"2,954 ",56 ,860 ,"7,308 ","5,886 ",642 ,"4,004 ","1,616 ","16,863 ",20 ,67 ,"1,068 ","2,340,000 ",,,,,,,25 ,43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUTTALAM,76 ,130 ,18 ,59 ,,,,,97 ,136 ,98 ,130 ,,,2 ,3 ,137 ,129 ,149 ,301 ,391 ,"5,537 ",88 ,"1,101 ",,,875 ,"9,123 ",1 ,6 ,738 ,"4,414 ",,,,,122 ,229 ,1 ,9 ,,,77 ,916 ,169 ,"2,328 ",145 ,"1,967 ",69 ,914 ,55 ,701 ,38 ,584 ,37 ,660 ,57 ,"1,264 ",,,,,128 ,"2,466 ",183 ,"3,510 ",1 ,3 ,,,10 ,91 ,100 ,"1,527 ",127 ,915 ,188 ,"1,246 ",384 ,"1,777 ",,,2 ,19 ,204 ,"4,382 ",,,,,34 ,19 ,,,33 ,16 ,,,,,57 ,56 ,"8,382 ","2,800 ",479 ,"2,228 ",490 ,"3,113 ","1,007 ","12,310 ",628 ,947 ,85 ,187 ,,,"2,172 ","1,152 ",393 ,"3,356 ",249 ,"1,160 ",9 ,18 ,72 ,"39,909 ",,,,,34 ,346 ,34 ,256 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANURADHAPURA ,25 ,26 ,393 ,"1,200 ",,,,,93 ,110 ,109 ,131 ,166 ,234 ,202 ,257 ,"10,323 ","8,517 ",39 ,60 ,505 ,"8,683 ",44 ,476 ,,,16 ,134 ,916 ,"12,268 ",410 ,"1,931 ",5 ,1 ,13 ,18 ,,,2 ,25 ,,,186 ,915 ,376 ,"2,097 ",616 ,"3,820 ",184 ,"1,222 ",97 ,558 ,108 ,764 ,124 ,"1,065 ",15 ,105 ,,,6 ,60 ,69 ,679 ,11 ,83 ,3 ,14 ,,,54 ,431 ,787 ,"8,711 ",341 ,"1,910 ",113 ,492 ,168 ,"1,044 ",53 ,445 ,11 ,60 ,11 ,119 ,,,,,,,,,,,,,,,144 ,76 ,"1,985 ",487 ,837 ,"3,579 ","1,319 ","20,492 ","2,121 ","29,129 ","1,448 ","5,637 ",156 ,834 ,10 ,62 ,"2,627 ","1,441 ",534 ,"3,780 ",1 ,1 ,2 ,1 ,55 ,"18,754 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLONNARUWA,12 ,13 ,356 ,"1,130 ",,,1 ,1 ,74 ,110 ,50 ,67 ,1 ,2 ,3 ,4 ,9 ,8 ,86 ,191 ,241 ,"3,527 ",117 ,"1,525 ",,,13 ,113 ,38 ,456 ,82 ,596 ,1 ,3 ,95 ,184 ,1 ,1 ,2 ,17 ,,,73 ,746 ,88 ,"1,276 ",107 ,"1,701 ",47 ,725 ,36 ,334 ,27 ,411 ,26 ,278 ,1 ,3 ,,,1 ,7 ,,,12 ,76 ,1 ,13 ,,,1 ,16 ,98 ,"1,618 ",136 ,"1,779 ",10 ,46 ,25 ,105 ,7 ,77 ,,,,,,,,,,,,,35 ,20 ,,,,,74 ,139 ,319 ,80 ,347 ,"1,946 ",387 ,"4,427 ",875 ,"12,055 ",591 ,"1,694 ",130 ,904 ,,,939 ,330 ,195 ,654 ,5 ,17 ,1 ,4 ,15 ,"5,375 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADULLA,78 ,107 ,"4,274 ","23,015 ",2 ,3 ,,,105 ,96 ,126 ,117 ,5 ,8 ,1 ,1 ,611 ,458 ,17 ,28 ,692 ,"10,172 ",208 ,"1,662 ","2,341 ","31,517 ",80 ,709 ,1 ,5 ,230 ,579 ,4 ,2 ,21 ,16 ,,,64 ,598 ,,,60 ,460 ,132 ,776 ,548 ,"7,723 ",80 ,508 ,22 ,172 ,594 ,"6,593 ",120 ,"1,263 ",454 ,"9,618 ",370 ,"5,867 ",157 ,"1,629 ",113 ,"1,268 ",177 ,"2,227 ","1,440 ","9,490 ",113 ,"1,237 ",1 ,11 ,198 ,"2,208 ",308 ,"3,318 ",200 ,"1,091 ",22 ,121 ,9 ,34 ,4 ,15 ,,,,,428 ,462 ,464 ,228 ,25 ,9 ,"3,410 ","2,519 ",3 ,2 ,46 ,25 ,"1,431 ","6,059 ",799 ,215 ,581 ,"6,137 ",707 ,"15,804 ","1,049 ","21,871 ","1,986 ","7,366 ",220 ,"1,982 ",28 ,875 ,"2,534 ","1,621 ",314 ,"2,646 ",163 ,"1,246 ",14 ,166 ,59 ,"23,236 ",27 ,"6,286 ",123 ,"2,438 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
